worksheet_id,customer_type,business_type_name,question,star_level,content,path_name,t1,t2,t3,worksheet_channel,operator_id,HT (Seconds)
t360287970232206025,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,,Duda_Viajes_Pago pendiente,Duda,Viajes,Pago pendiente,SELF HELP,-,0
t360287970232206036,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Viajes_Pago pendiente,Duda,Viajes,Pago pendiente,EMAIL,1213419,359
t360287970232206173,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Conductor_Se va por dirección contraria o no mueve para escogerme,Queja,Sobre el Conductor,Se va por dirección contraria o no mueve para escogerme,EMAIL,1213419,164
t360287970232206243,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Política_Reglas de actividad,Duda,Política,Reglas de actividad,EMAIL,1235355,134
t360287970232206358,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Política_Tarifa de cancelación,Duda,Política,Tarifa de cancelación,EMAIL,1283343,167
t360287970232206727,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_App_No muestra conductores disponibles,Queja,App,No muestra conductores disponibles,EMAIL,1220591,309
t360287970232206984,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,HACER VÁLIDA SU PROMOCIÓN DE DESCUENTO EN EL PRIMER VIAJE_ COMO ES POSIBLE QUE SALGAN CON QUE ES DEPENDE EL DIA_ EL HORARIO_ ETC PARA LA PROMOCIÓN DEL PRIMER VIAJE CUANDO UNO ES USUARIO NUEVO ES LÓGICO QUE NO SABE NADA DE SU APLICACIÓN DIDI !!!!!,Queja_Cupón_Cupón expirado,Queja,Cupón,Cupón expirado,EMAIL,1283499,133
t360287970232208358,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Sobre el Pago_Cómo funciona la tarifa de cancelación,Queja,Sobre el Pago,Cómo funciona la tarifa de cancelación,EMAIL,1238891,193
t360287970232209497,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Capacitaciones constantes para los conductores y profesionalismo ya que algunos son irrespetuosos otros van con el celular platicando o contestando mensajes o simplemente no les importa traer pasaje y el volumen de la música es alto ,Queja_Sobre el Pago_Cargo Doble (en efectivo y tarjeta),Queja,Sobre el Pago,Cargo Doble (en efectivo y tarjeta),EMAIL,1220507,68
t360287970232209738,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Solicitud_Operación_Finalizar el viaje (después de iniciar el viaje),Solicitud,Operación,Finalizar el viaje (después de iniciar el viaje),EMAIL,1213391,186
t360287970232210021,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Operación_No recibe viajes,Duda,Operación,No recibe viajes,EMAIL,1233855,187
t360287970232210814,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Mis primeros viajes_ en cuastion de pago_ estaban muy buen. No se en que momento me empiezan hacer este tipo de cobros de garantía_ si no los hacían. Es por eso que ya no Estoy conforme con el servicio. Gracias ,Duda_Reglas sobre cargos_Cargo desconocido,Duda,Reglas sobre cargos,Cargo desconocido,EMAIL,1283327,60
